#B Snow Pile
x_{1} = 0.627,0.671,0.671,0.627
y_{1} = 0.693,0.693,0.539,0.539
#B Orange
x_{2} = 0.603,0.627,0.627,0.533,0.533,0.603
y_{2} = 0.58,0.58,0.539,0.539,0.693,0.693
#B Site
x_{3} = 0.559,0.671,0.671,0.559
y_{3} = 0.826,0.826,0.693,0.693
#B Kitchen
x_{4} = 0.671,0.744,0.744,0.671
y_{4} = 0.603,0.603,0.491,0.491
#B Hall
x_{5} = 0.671,0.744,0.744,0.671
y_{5} = 0.786,0.786,0.603,0.603
#B Snowman
x_{6} = 0.671,0.818,0.818,0.671
y_{6} = 0.916,0.916,0.808,0.808
#B Back
x_{7} = 0.744,0.867,0.867,0.744
y_{7} = 0.808,0.808,0.63,0.63
#B Yellow
x_{9} = 0.405,0.535,0.535,0.405
y_{9} = 0.938,0.938,0.827,0.827
#B Front Site
x_{10} = 0.535,0.671,0.671,0.559,0.559,0.405,0.405,0.535
y_{10} = 0.938,0.938,0.826,0.826,0.791,0.791,0.827,0.827
#B Garage
x_{8} = 0.3,0.403,0.403,0.3
y_{8} = 0.646,0.646,0.572,0.572
#B Long
x_{11} = 0.387,0.488,0.488,0.441,0.441,0.403,0.403,0.387
y_{11} = 0.791,0.791,0.57,0.57,0.538,0.538,0.646,0.646
#B Tube
x_{15} = 0.448,0.671,0.671,0.448
y_{15} = 0.539,0.539,0.515,0.515
#Attacker Spawn
x_{12} = 0.403,0.341,0.341,0.366,0.366,0.06,0.06,0.403
y_{12} = 0.538,0.538,0.356,0.356,0.096,0.096,0.574,0.572
#Middle Top
x_{13} = 0.341,0.494,0.494,0.341
y_{13} = 0.515,0.515,0.356,0.356
#Middle Courtyard
x_{16} = 0.494,0.671,0.671,0.494
y_{16} = 0.515,0.515,0.402,0.402
#Mid Bottom
x_{27} = 0.671,0.744,0.744,0.671
y_{27} = 0.491,0.491,0.402,0.402
#Middle Hall
x_{17} = 0.567,0.744,0.744,0.567
y_{17} = 0.402,0.402,0.354,0.354
#Defender Spawn
x_{28} = 0.744,0.744,0.787,0.787,1,1
y_{28} = 0.63,0.354,0.354,0.2,0.2,0.63
#A Rafters
x_{14} = 0.757,0.787,0.787,0.757
y_{14} = 0.354,0.354,0.095,0.095
#A Screens
x_{18} = 0.665,0.757,0.757,0.665
y_{18} = 0.354,0.354,0.284,0.284
#A Second Floor
x_{19} = 0.705,0.734,0.734,0.705
y_{19} = 0.255,0.255,0.168,0.168
#A Back Site
x_{20} = 0.757,0.72,0.72,0.734,0.734,0.72,0.72,0.757
y_{20} = 0.284,0.284,0.255,0.255,0.168,0.168,0.095,0.095
#A Front Site
x_{21} = 0.678,0.72,0.72,0.705,0.705,0.72,0.72,0.678
y_{21} = 0.284,0.284,0.255,0.255,0.168,0.168,0.095,0.095
#A Belt
x_{22} = 0.406,0.458,0.458,0.481,0.481,0.564,0.564,0.591,0.591,0.406
y_{22} = 0.241,0.241,0.169,0.169,0.12,0.12,0.154,0.154,0.097,0.097
#A Lobby
x_{23} = 0.406,0.366,0.366,0.458,0.458,0.406
y_{23} = 0.097,0.097,0.352,0.352,0.314,0.314
#A Nest
x_{24} = 0.511,0.536,0.536,0.511
y_{24} = 0.25,0.25,0.164,0.164
#A Main
x_{25} = 0.481,0.564,0.564,0.511,0.511,0.567,0.567,0.458,0.458,0.481
y_{25} = 0.12,0.12,0.164,0.164,0.25,0.25,0.352,0.352,0.169,0.169
#A Pipes
x_{26} = 0.616,0.678,0.678,0.616
y_{26} = 0.284,0.284,0.095,0.095
#A Entrance
x_{29} = 0.567,0.567,0.536,0.536,0.564,0.564,0.591,0.591,0.616,0.616
y_{29} = 0.262,0.25,0.25,0.164,0.164,0.154,0.154,0.114,0.114,0.262
